,element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
0,Cl,1,837.594,837.5943,99900,220000000.0,D,71958.363,83894.037,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,4D*,7/2,,"T1277n,T1619CA,LS",L298
1,Cl,2,542.323,542.3257,99000,130000000.0,D,110296.84,128730.82,3s2.3p3.(4S*).3d,5D*,4,3s2.3p3.(4S*).4p,5P,3,,T1277LS,L1617
2,Cl,2,479.455,479.4556,99000,728000000.0,C,107879.66,128730.82,3s2.3p3.(4S*).4s,5S*,2,3s2.3p3.(4S*).4p,5P,3,,T8043,L1617
3,Cl,2,489.677,489.6783,81000,790000000.0,D,126784.37,147200.24,3s2.3p3.(2D*).4s,3D*,3,3s2.3p3.(2D*).4p,3F,4,,"T1277,T1619CA,LS",L1617
4,Cl,1,858.597,858.5981,75000,110000000.0,D,72488.568,84132.262,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4D*,5/2,,"T1277n,T1619CA,LS",L298
5,Cl,2,521.794,521.7945,56000,380000000.0,C,112609.36,131768.66,3s2.3p3.(4S*).4s,3S*,1,3s2.3p3.(4S*).4p,3P,2,,"T1277,T694,T1619CA,LS",L1617
6,Cl,2,490.478,490.4776,47000,570000000.0,D,126744.97,147127.57,3s2.3p3.(2D*).4s,3D*,2,3s2.3p3.(2D*).4p,3F,3,,"T1277,T1619CA,LS",L1617
7,Cl,2,481.006,481.007,29000,500000000.0,C,107879.66,128663.57,3s2.3p3.(4S*).4s,5S*,2,3s2.3p3.(4S*).4p,5P,2,,T8043,L1617
8,Cl,2,507.826,507.8267,26000,540000000.0,D,126784.37,146470.64,3s2.3p3.(2D*).4s,3D*,3,3s2.3p3.(2D*).4p,3D,3,,"T1619CA,LS",L1617
9,Cl,2,491.773,491.773,26000,380000000.0,D,126726.7,147055.61,3s2.3p3.(2D*).4s,3D*,1,3s2.3p3.(2D*).4p,3F,2,,"T1277,T1619CA,LS",L1617
10,Cl,2,522.136,522.1362,23000,230000000.0,C,112609.36,131756.12,3s2.3p3.(4S*).4s,3S*,1,3s2.3p3.(4S*).4p,3P,1,,"T1277,T694,T1619CA,LS",L1617
11,Cl,1,822.174,822.1741,20000,,,72488.568,84648.100,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,2D*,5/2,,,L298
12,Cl,1,857.524,857.5246,20000,48000000.0,D,72827.038,84485.309,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4D*,3/2,,T1277LS,L298
13,Cl,2,544.337,544.3375,19000,75000000.0,D,110297.72,128663.57,3s2.3p3.(4S*).3d,5D*,3,3s2.3p3.(4S*).4p,5P,2,,T1277LS,L1617
14,Cl,1,821.204,821.2038,18000,47000000.0,D,71958.363,84132.262,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,4D*,5/2,,T1277LS,L298
15,Cl,1,833.331,833.3307,18000,64000000.0,D,72488.568,84485.309,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4D*,3/2,,"T1277n,T1619CA,LS",L298
16,Cl,2,481.947,481.948,16000,300000000.0,C,107879.66,128622.99,3s2.3p3.(4S*).4s,5S*,2,3s2.3p3.(4S*).4p,5P,1,,T8043,L1617
17,Cl,2,539.212,539.2125,15000,700000000.0,D,129066.96,147607.37,3s2.3p3.(2D*).4s,1D*,2,3s2.3p3.(2D*).4p,1F,3,,T8043,L1617
18,Cl,1,842.825,842.8251,15000,48000000.0,D,72827.038,84688.637,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4D*,1/2,,T1277LS,L298
